,name,rating,distance,delivery,pickup,American,Bakeries,Cafes,Chinese,Fast Food,Pizza,Street Vendors
75,Cafe Monell's,8.0,2776.3299314394562,0,0,0,0,0,0,0,0,0
76,Mitch's BBQ,9.0,24718.461378917542,1,0,0,0,0,0,0,0,0
77,Kansai Japanese Cuisine,8.0,6185.019570488362,1,1,0,0,0,0,0,0,0
78,The Market Exchange,8.0,2062.568534801209,0,0,1,0,0,0,0,0,0
79,Yatai Street Food,8.0,12293.408684345137,1,0,0,0,0,0,0,0,0
80,Nobu Miami,7.0,18228.501503940406,1,0,0,0,0,0,0,0,0
81,Aracri Pizzeria,8.0,1993.8127501816593,1,1,0,0,0,0,0,1,0
82,Kickback Pinball Cafe,9.0,3371.841430220574,1,0,0,0,0,0,0,0,0
83,Nuna Ramen,8.0,3164.3012249607264,1,1,0,0,0,0,0,0,0
84,Hometown Bar-B-Que,8.0,8739.21073976282,1,1,0,0,0,0,0,0,0
85,Dave's Hot Chicken,8.0,10833.500012200575,1,1,0,0,0,0,0,0,0
86,Hole In the Wall,7.0,7416.3252804151425,1,0,0,0,0,0,0,0,0
87,ISG Bar & Kitchen,9.0,4342.969877758361,1,1,0,0,0,0,0,1,0
88,Golden Nugget,7.0,11635.881494229829,0,0,0,0,0,0,0,0,0
89,Amigos restaurant & Pizza,9.0,7566.126740795339,1,1,0,0,0,0,0,1,0
90,Burger Bar Chicago,7.0,6057.452136400409,1,1,0,0,0,0,1,0,0
91,Shawarma Falafel,9.0,1389.1577790873685,1,1,0,0,0,0,0,0,0
92,Taqueria El Heredero,9.0,2857.30744209211,1,1,0,0,0,0,0,0,0
93,Sushi En,8.0,25705.565339127006,1,1,0,0,0,0,0,0,0
94,CRAZY CRAB,7.0,17475.54108649797,1,1,0,0,0,0,0,0,0
95,I Love Frys,9.0,24219.17039752391,1,1,1,0,0,0,0,0,0
96,Ghost King Thai,8.0,1267.4054361179972,1,1,0,0,0,0,0,0,0
97,Artemis Cuisines,10.0,5874.792936651531,0,0,0,0,0,0,0,0,0
98,Loch Bar,8.0,3048.5176801417883,1,0,0,0,0,0,0,0,0
99,Upstate Craft Beer & Oyster Bar,9.0,2416.715359115974,1,0,0,0,0,0,0,0,0
100,The Corner,8.0,10080.35132605152,1,0,0,0,0,0,0,0,0
101,Not Just Fish & Chips,9.0,7197.016305754549,1,0,0,0,0,0,0,0,0
102,Regina Pizzeria,8.0,2270.972158983684,1,0,0,0,0,0,0,1,0
103,The Lox,9.0,3754.6375198872793,1,0,0,0,0,0,0,0,0
104,Urbanbelly,8.0,499.9701867534464,1,1,0,0,0,0,0,0,0
105,Boca Loca Taqueria,7.0,1439.7912631803063,1,1,0,0,0,0,0,0,0
106,Azabu Miami Beach,8.0,15726.112719931145,1,1,0,0,0,0,0,0,0
107,Crosby's Kitchen,8.0,4591.780824211806,1,1,1,0,0,0,0,0,0
108,Good Company,8.0,5627.169426124815,1,1,0,0,0,0,0,0,0
109,Taneda Sushi in Kaiseki,10.0,1193.415629631792,0,0,0,0,0,0,0,0,0
110,Retreat,7.0,5942.4248730897625,1,0,0,0,1,0,0,0,0
111,Moldova Restaurant,9.0,10693.772614571213,1,1,0,0,0,0,0,0,0
112,Arezu,10.0,6615.213903101957,1,0,0,0,0,0,0,0,0
113,Gintaras Restaurant & Lounge,8.0,15954.083800102093,0,0,0,0,0,0,0,0,0
114,honeygrow,7.0,2119.836248921894,1,1,0,0,0,0,0,0,0
115,Lou Malnati's Pizzeria,8.0,4072.9697331737007,1,1,0,0,0,0,0,0,0
116,Eclectico Restaurant & Bar,9.0,3556.3623792774924,1,1,0,0,0,0,0,0,0
117,Milk & Honey Cafe,8.0,41824.43503091328,1,1,0,0,0,0,0,0,0
118,Cinco De Mayo Mexican Restaurant - Nashville,7.0,2042.6429043246524,1,1,0,0,0,0,0,0,0
119,Sabor Miami Cafe & Gallery,10.0,5862.894413659888,1,1,0,0,1,0,0,0,0
120,Gyro Guys,9.0,5029.9021358580685,1,1,0,0,1,0,0,0,0
121,Tous Les Jours,9.0,10048.05601905084,1,1,0,1,0,0,0,0,0
122,Hawa Smoothies & Bubble Tea,9.0,1605.097434644877,1,0,0,0,0,0,0,0,0
123,The Gage,8.0,5127.540787781295,1,1,0,0,0,0,0,0,0
124,The Eastern Peak - North Gulch,8.0,2549.1664576177786,1,1,0,0,0,0,0,0,0
125,Nicoletto’s Italian Kitchen,9.0,2467.4175450310768,1,1,0,0,0,0,0,0,0
126,Hello Bistro,7.0,1828.8007168694076,1,0,0,0,0,0,0,0,0
127,Jade Grille,8.0,9041.999431174208,1,1,0,0,0,0,0,0,0
128,How Lee Chinese Food,7.0,5096.79334839661,1,1,0,0,0,1,0,0,0
129,The Diller Room,8.0,2075.5558011682288,1,0,0,0,0,0,0,1,0
130,Three House,9.0,1479.900680376942,1,0,1,0,0,0,0,0,0
131,honeygrow,8.0,3251.396971245685,1,1,0,0,0,0,0,0,0
132,Sidewalk Tacos,8.0,2593.345076061584,0,0,0,0,0,0,0,0,0
133,Carolicious,9.0,4716.281372098297,0,0,0,0,0,0,0,0,0
134,Umami,8.0,13903.492703414802,1,1,0,0,0,0,0,0,0
135,El Sabor Latin Kitchen,9.0,3101.308651519448,1,1,0,0,0,0,0,0,0
136,Llama Inn,8.0,3889.388582548555,1,0,0,0,0,0,0,0,0
137,Benh Mi,9.0,16083.322423626907,1,1,0,0,0,0,0,0,0
